::ffff:127.0.0.1 - - [12/Apr/2023:06:33:41 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [12/Apr/2023:06:40:37 +0000] "POST /scripts/WPnBr.dll HTTP/1.0" 404 157 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:37 +0000] "GET /EZgV HTTP/1.0" 404 143 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:37 +0000] "POST /sdk HTTP/1.0" 404 143 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:37 +0000] "GET /docs/cplugError.html/ HTTP/1.0" 404 160 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:37 +0000] "GET /menu.jhtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:37 +0000] "GET /pools/default/buckets HTTP/1.0" 404 160 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:37 +0000] "GET /HNAP1 HTTP/1.0" 404 144 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:37 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:37 +0000] "GET /localstart.php HTTP/1.0" 404 153 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:37 +0000] "GET /pools HTTP/1.0" 404 144 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:38 +0000] "GET /home.shtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:38 +0000] "GET /inicio.cgi HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:38 +0000] "GET /inicio.asp HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:40 +0000] "GET /default.php HTTP/1.0" 404 150 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:40 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:40 +0000] "GET /start.jhtml HTTP/1.0" 404 150 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:40 +0000] "GET /main.pl HTTP/1.0" 404 146 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:40 +0000] "GET /localstart.jsa HTTP/1.0" 404 153 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:40 +0000] "GET /admin.shtml HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:41 +0000] "GET /base.php HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:41 +0000] "GET /inicio.shtml HTTP/1.0" 404 151 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:41 +0000] "GET /menu.asp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:41 +0000] "GET /inicio.aspx HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:41 +0000] "GET /home.cgi HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:41 +0000] "GET /start.jsp HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:41 +0000] "GET /admin.pl HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:42 +0000] "GET /admin.php HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:42 +0000] "GET /admin.jsp HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:42 +0000] "GET /menu.cgi HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:42 +0000] "GET /admin.jsa HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:42 +0000] "GET /main.php HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:42 +0000] "GET /default.jhtml HTTP/1.0" 404 152 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:43 +0000] "GET /admin.html HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:43 +0000] "GET /admin.cgi HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:43 +0000] "GET /admin.cfm HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:43 +0000] "GET /main.asp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:43 +0000] "GET /indice.jsa HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:43 +0000] "GET /admin.aspx HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:44 +0000] "GET /menu.aspx HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:44 +0000] "GET /admin.asp HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:44 +0000] "GET /base.shtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:44 +0000] "GET /home.jsa HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:44 +0000] "GET /indice.jhtml HTTP/1.0" 404 151 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:44 +0000] "GET /home.jsp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:44 +0000] "GET /main.jsp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:45 +0000] "GET /base.jhtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:45 +0000] "GET /start.shtml HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:45 +0000] "GET /home.php HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:45 +0000] "GET /index.pl HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:45 +0000] "GET /index.aspx HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:45 +0000] "GET /base.jsp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:46 +0000] "GET /default.shtml HTTP/1.0" 404 152 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:46 +0000] "GET /base.jsa HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:46 +0000] "GET /base.inc HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:46 +0000] "GET /home.cfm HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:46 +0000] "GET /base.html HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:46 +0000] "GET /base.cgi HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /main.cfm HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /indice.pl HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /menu.jsp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /start.aspx HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /main.jhtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /index.shtml HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /base.cfm HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /localstart.jsp HTTP/1.0" 404 153 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /base.aspx HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /base.asp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /indice.shtml HTTP/1.0" 404 151 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /indice.php HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /indice.jsp HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /base.pl HTTP/1.0" 404 146 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /main.html HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /indice.html HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /indice.cgi HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /admin.jhtml HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:47 +0000] "GET /menu.jsa HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:47 +0000] "GET /main.aspx HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /home.html HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /start.html HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /default.html HTTP/1.0" 404 151 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /index.jsp HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /inicio.php HTTP/1.0" 404 149 "-" "curl/7.54.0"
